time	line	instance	edges	omega	degree	minloops	maxloops	pimin	lambda	[lambda>0]	mix	leigen	ueigen	ucanon	
(60h:43m:06s)	11151	6,4,4,4,1,0;4,4,4,4,3,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11152	6,4,4,4,1,0;6,6,4,1,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11153	6,4,4,4,1,0;6,5,5,1,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11154	6,4,4,4,1,0;6,6,3,2,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11155	6,4,4,4,1,0;6,5,4,2,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11156	6,4,4,4,1,0;5,5,5,2,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11157	6,4,4,4,1,0;6,5,3,3,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11158	6,4,4,4,1,0;6,4,4,3,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11159	6,4,4,4,1,0;5,5,4,3,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11160	6,4,4,4,1,0;5,4,4,4,1,1	19	1	441	441	441	1	NA	NA	0	NA	NA	NA	
(60h:43m:06s)	11161	6,4,4,4,1,0;6,6,2,2,2,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11162	6,4,4,4,1,0;6,5,3,2,2,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11163	6,4,4,4,1,0;6,4,4,2,2,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11164	6,4,4,4,1,0;5,5,4,2,2,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11165	6,4,4,4,1,0;6,4,3,3,2,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11166	6,4,4,4,1,0;5,5,3,3,2,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11167	6,4,4,4,1,0;5,4,4,3,2,1	19	3	441	439	439	1/3	0.993197	1	953	453.666	1176.94	1176.94	
(60h:43m:06s)	11168	6,4,4,4,1,0;4,4,4,4,2,1	19	13	441	429	435	1/13	0.99093	1	714	339.473	1044.37	4177.46	
(60h:43m:06s)	11169	6,4,4,4,1,0;6,3,3,3,3,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
